,nombre,tipo,latitud_y,longitud_x,fuente
121,Great downtown apartment!,Entire home/apt,-34.603190000000005,-58.38805,Airbnb
122,Faena Hotel Stunning Views Private Luxury  Suite*,Hotel room,-34.6022,-58.35541,Airbnb
123,Artdecohouse Palermo,Entire home/apt,-34.59045,-58.409259999999996,Airbnb
124,Great Private Room!,Private room,-34.59754,-58.41098,Airbnb
125,Great place to 12 Tango lovers,Entire home/apt,-34.60485,-58.39448,Airbnb
126,AMAZING PALERMO BEST VALUE w POOL,Entire home/apt,-34.58643,-58.4242,Airbnb
127,Historico y Luminoso Duplex Centro!,Entire home/apt,-34.60107,-58.3764,Airbnb
128,Beautiful Apartment Palermo Vip Great location,Entire home/apt,-34.57901,-58.41283000000001,Airbnb
129,Bright Studio at Palermo Soho,Entire home/apt,-34.581990000000005,-58.42776,Airbnb
130,Luxury 1 Bedroom - 1.5 Bath,Entire home/apt,-34.58014,-58.43209,Airbnb
131,Amazing view - GREAT Studio - Balcony,Entire home/apt,-34.58533,-58.42802,Airbnb
132,Department to 5 min to city centre,Private room,-34.59956,-58.430240000000005,Airbnb
133,Amazing duplex in Recoleta,Entire home/apt,-34.59078,-58.39751,Airbnb
134,Room with library downtown,Private room,-34.60564,-58.3994,Airbnb
135,Luxury 1 Bedroom - 1.5 Bath,Entire home/apt,-34.5911,-58.39978000000001,Airbnb
136,Spotless entire apt. Ideal location,Entire home/apt,-34.619820000000004,-58.4166,Airbnb
137,Beautiful room in Ap. near palermo,Private room,-34.57353,-58.45365,Airbnb
138,Studio Rojo Design Belgrano - 2 Pax,Entire home/apt,-34.55601,-58.45717,Airbnb
139,Palermo View Studio at Palermo Uno Tower,Entire home/apt,-34.582640000000005,-58.42451,Airbnb
140,Small charmy and fully at Palermo,Entire home/apt,-34.57717,-58.41138,Airbnb
141,Van Gogh s apart at Palermo,Entire home/apt,-34.5771,-58.41134,Airbnb
142,"alquilo por noche,o semana",Private room,-34.604620000000004,-58.37764,Airbnb
143,Palermo Hollywood Studio Apt - 4th floor - 33 m2,Entire home/apt,-34.57935,-58.43484,Airbnb
144,DONDE VIVI (1) Rooms for Rent .,Private room,-34.607279999999996,-58.41949,Airbnb
145,"Belgrano R, Private Room, Sunny",Private room,-34.5771,-58.4694,Airbnb
146,Urban Escape ★ Studio with great views,Entire home/apt,-34.593070000000004,-58.40359,Airbnb
147,Great Studio - Roof top Pool,Entire home/apt,-34.59211,-58.401630000000004,Airbnb
148,Modern and Comfortable. Central location.Fast WiFi,Entire home/apt,-34.62053,-58.41653,Airbnb
149,Buena Vista - Panorama Riverviews ★★★★★,Entire home/apt,-34.58092,-58.42483000000001,Airbnb
150,Soho Sunset studio  with amazing views.,Entire home/apt,-34.58286,-58.423880000000004,Airbnb
